full_smiles,rejection
CO.CC1=CC(=C(C(=C1)C)C(=O)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3)C,1.0
CC1CCCO1.C(#Cc1ccccc1)c1ccccc1,0.232885014
CC(CC)=O.CC(N)=O,0.0625
CO.C1=C(NC(=O)N=C1)N,0.65
CCO.CC(C(O)=O)(C)C,0.53
O.CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=C(C=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],0.987
CC(C)=O.c1ccc(-c2nc3ccccc3[nH]2)cc1,0.785165735
CCCCCCC.NC1=CC=CC(F)=C1,-0.082618427
N#CC.N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,0.949492512
CO.COC(=O)C1=CC=C(C=C1)I,0.33
O.C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.9983
O.C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.848
CC1=CC=CC=C1.c1ccc2c(c1)Cc1ccccc1-2,0.108281859
N#CC.C1CC(OC1)N2C=C(C(=O)NC2=O)F,0.911397147
O.CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.679
O=CN(C)C.C1=CC2=C(C=CC=C2N)C(=C1)N,0.82222074
O.CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,0.88
CO.NC1=CC(F)=C(F)C=C1[N+]([O-])=O,0.38
CC1=CC=CC=C1.P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,0.932
O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.999
CO.O=C(C1=CC=CC=C1)C2=CC=C(OC)C=C2O,0.58
CO.C1=CC2=C(C=C1N)NC(=S)N2,0.76724289
CO.O=CC1=CC=C(C)O1,0.23
CO.OC(=O)c1ccccc1SSc2ccccc2C(O)=O,0.99
CC(OCC)=O.O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,0.938447599
CC(C)(C)OC.COC1=CC=C(Br)C=C1,-0.126867407
CO.OC1=CC(Br)=C(O)C=C1Br,0.62
O.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,0.5743
